voting_country,recipient_country,vote_type,points
Albania,Italy,televote,12
Albania,Israel,televote,10
Albania,Greece,televote,8
Albania,Ukraine,televote,7
Albania,Bulgaria,televote,6
Albania,Romania,televote,5
Albania,Australia,televote,4
Albania,Serbia,televote,3
Albania,Croatia,televote,2
Albania,Finland,televote,1
Armenia,Bulgaria,televote,12
Armenia,Australia,televote,10
Armenia,Finland,televote,8
Armenia,Israel,televote,7
Armenia,Denmark,televote,6
Armenia,Romania,televote,5
Armenia,Greece,televote,4
Armenia,Cyprus,televote,3
Armenia,France,televote,2
Armenia,Czechia,televote,1
Australia,Bulgaria,televote,12
Australia,Finland,televote,10
Australia,Greece,televote,8
Australia,Croatia,televote,7
Australia,Romania,televote,6
Australia,Moldova,televote,5
Australia,Malta,televote,4
Australia,Denmark,televote,3
Australia,Norway,televote,2
Australia,France,televote,1
Austria,Bulgaria,televote,12
Austria,Australia,televote,10
Austria,Croatia,televote,8
Austria,Israel,televote,7
Austria,Italy,televote,6
Austria,Moldova,televote,5
Austria,Ukraine,televote,4
Austria,Romania,televote,3
Austria,Greece,televote,2
Austria,Finland,televote,1
Azerbaijan,Israel,televote,12
Azerbaijan,Bulgaria,televote,10
Azerbaijan,Finland,televote,8
Azerbaijan,Denmark,televote,7
Azerbaijan,Romania,televote,6
Azerbaijan,Australia,televote,5
Azerbaijan,Ukraine,televote,4
Azerbaijan,Czechia,televote,3
Azerbaijan,Malta,televote,2
Azerbaijan,Moldova,televote,1
Belgium,Bulgaria,televote,12
Belgium,Romania,televote,10
Belgium,Israel,televote,8
Belgium,Moldova,televote,7
Belgium,Greece,televote,6
Belgium,Ukraine,televote,5
Belgium,Italy,televote,4
Belgium,Finland,televote,3
Belgium,Albania,televote,2
Belgium,Australia,televote,1
Bulgaria,Greece,televote,12
Bulgaria,Romania,televote,10
Bulgaria,Albania,televote,8
Bulgaria,Ukraine,televote,7
Bulgaria,Cyprus,televote,6
Bulgaria,Israel,televote,5
Bulgaria,Croatia,televote,4
Bulgaria,Moldova,televote,3
Bulgaria,Malta,televote,2
Bulgaria,Italy,televote,1
Croatia,Serbia,televote,12
Croatia,Italy,televote,10
Croatia,Albania,televote,8
Croatia,Bulgaria,televote,7
Croatia,Moldova,televote,6
Croatia,Romania,televote,5
Croatia,Australia,televote,4
Croatia,Greece,televote,3
Croatia,Finland,televote,2
Croatia,Ukraine,televote,1
Cyprus,Greece,televote,12
Cyprus,Bulgaria,televote,10
Cyprus,Israel,televote,8
Cyprus,Romania,televote,7
Cyprus,Moldova,televote,6
Cyprus,Australia,televote,5
Cyprus,Ukraine,televote,4
Cyprus,Italy,televote,3
Cyprus,France,televote,2
Cyprus,Finland,televote,1
Czechia,Ukraine,televote,12
Czechia,Bulgaria,televote,10
Czechia,Moldova,televote,8
Czechia,Romania,televote,7
Czechia,Greece,televote,6
Czechia,Israel,televote,5
Czechia,Croatia,televote,4
Czechia,Finland,televote,3
Czechia,Serbia,televote,2
Czechia,Denmark,televote,1
Denmark,Bulgaria,televote,12
Denmark,Norway,televote,10
Denmark,Finland,televote,8
Denmark,Ukraine,televote,7
Denmark,Sweden,televote,6
Denmark,Australia,televote,5
Denmark,Romania,televote,4
Denmark,Moldova,televote,3
Denmark,Israel,televote,2
Denmark,Albania,televote,1
Estonia,Finland,televote,12
Estonia,Moldova,televote,10
Estonia,Ukraine,televote,8
Estonia,Bulgaria,televote,7
Estonia,Italy,televote,6
Estonia,Australia,televote,5
Estonia,Romania,televote,4
Estonia,Greece,televote,3
Estonia,Denmark,televote,2
Estonia,Israel,televote,1
Finland,Israel,televote,12
Finland,Romania,televote,10
Finland,Denmark,televote,8
Finland,Bulgaria,televote,7
Finland,Sweden,televote,6
Finland,Italy,televote,5
Finland,Ukraine,televote,4
Finland,Serbia,televote,3
Finland,Croatia,televote,2
Finland,Moldova,televote,1
France,Israel,televote,12
France,Moldova,televote,10
France,Romania,televote,8
France,Bulgaria,televote,7
France,Ukraine,televote,6
France,Italy,televote,5
France,Albania,televote,4
France,Greece,televote,3
France,Finland,televote,2
France,Croatia,televote,1
Georgia,Ukraine,televote,12
Georgia,Israel,televote,10
Georgia,Moldova,televote,8
Georgia,Romania,televote,7
Georgia,Bulgaria,televote,6
Georgia,Greece,televote,5
Georgia,Denmark,televote,4
Georgia,Serbia,televote,3
Georgia,Australia,televote,2
Georgia,Finland,televote,1
Germany,Israel,televote,12
Germany,Bulgaria,televote,10
Germany,Greece,televote,8
Germany,Croatia,televote,7
Germany,Italy,televote,6
Germany,Austria,televote,5
Germany,Poland,televote,4
Germany,Moldova,televote,3
Germany,Ukraine,televote,2
Germany,Romania,televote,1
Greece,Cyprus,televote,12
Greece,Bulgaria,televote,10
Greece,Albania,televote,8
Greece,Italy,televote,7
Greece,Romania,televote,6
Greece,Israel,televote,5
Greece,Moldova,televote,4
Greece,Australia,televote,3
Greece,France,televote,2
Greece,Croatia,televote,1
Israel,Bulgaria,televote,12
Israel,Australia,televote,10
Israel,Moldova,televote,8
Israel,Italy,televote,7
Israel,Denmark,televote,6
Israel,Greece,televote,5
Israel,Ukraine,televote,4
Israel,Romania,televote,3
Israel,France,televote,2
Israel,Albania,televote,1
Italy,Moldova,televote,12
Italy,Romania,televote,10
Italy,Israel,televote,8
Italy,Albania,televote,7
Italy,Ukraine,televote,6
Italy,Bulgaria,televote,5
Italy,Greece,televote,4
Italy,Finland,televote,3
Italy,Poland,televote,2
Italy,Australia,televote,1
Latvia,Lithuania,televote,12
Latvia,Finland,televote,10
Latvia,Moldova,televote,8
Latvia,Bulgaria,televote,7
Latvia,Romania,televote,6
Latvia,Ukraine,televote,5
Latvia,Israel,televote,4
Latvia,Denmark,televote,3
Latvia,Greece,televote,2
Latvia,Italy,televote,1
Lithuania,Bulgaria,televote,12
Lithuania,Romania,televote,10
Lithuania,Italy,televote,8
Lithuania,Ukraine,televote,7
Lithuania,Denmark,televote,6
Lithuania,Moldova,televote,5
Lithuania,Finland,televote,4
Lithuania,Poland,televote,3
Lithuania,Australia,televote,2
Lithuania,Serbia,televote,1
Luxembourg,Bulgaria,televote,12
Luxembourg,Romania,televote,10
Luxembourg,Greece,televote,8
Luxembourg,Italy,televote,7
Luxembourg,Moldova,televote,6
Luxembourg,Finland,televote,5
Luxembourg,Ukraine,televote,4
Luxembourg,Albania,televote,3
Luxembourg,France,televote,2
Luxembourg,Israel,televote,1
Malta,Italy,televote,12
Malta,Australia,televote,10
Malta,Bulgaria,televote,8
Malta,Israel,televote,7
Malta,Albania,televote,6
Malta,Romania,televote,5
Malta,Finland,televote,4
Malta,Cyprus,televote,3
Malta,Greece,televote,2
Malta,Serbia,televote,1
Moldova,Romania,televote,12
Moldova,Ukraine,televote,10
Moldova,Israel,televote,8
Moldova,Italy,televote,7
Moldova,Bulgaria,televote,6
Moldova,Albania,televote,5
Moldova,Finland,televote,4
Moldova,Greece,televote,3
Moldova,Croatia,televote,2
Moldova,Serbia,televote,1
Montenegro,Serbia,televote,12
Montenegro,Albania,televote,10
Montenegro,Croatia,televote,8
Montenegro,Bulgaria,televote,7
Montenegro,Italy,televote,6
Montenegro,Ukraine,televote,5
Montenegro,Israel,televote,4
Montenegro,Romania,televote,3
Montenegro,Greece,televote,2
Montenegro,Australia,televote,1
Norway,Denmark,televote,12
Norway,Finland,televote,10
Norway,Bulgaria,televote,8
Norway,Romania,televote,7
Norway,Australia,televote,6
Norway,Israel,televote,5
Norway,Sweden,televote,4
Norway,Albania,televote,3
Norway,Ukraine,televote,2
Norway,France,televote,1
Poland,Ukraine,televote,12
Poland,Romania,televote,10
Poland,Moldova,televote,8
Poland,Bulgaria,televote,7
Poland,Finland,televote,6
Poland,Australia,televote,5
Poland,Czechia,televote,4
Poland,Denmark,televote,3
Poland,Israel,televote,2
Poland,Serbia,televote,1
Portugal,Israel,televote,12
Portugal,Ukraine,televote,10
Portugal,Moldova,televote,8
Portugal,Romania,televote,7
Portugal,Bulgaria,televote,6
Portugal,Finland,televote,5
Portugal,Australia,televote,4
Portugal,Italy,televote,3
Portugal,France,televote,2
Portugal,Croatia,televote,1
Rest of World,Bulgaria,televote,12
Rest of World,Moldova,televote,10
Rest of World,Ukraine,televote,8
Rest of World,Romania,televote,7
Rest of World,Israel,televote,6
Rest of World,Albania,televote,5
Rest of World,Greece,televote,4
Rest of World,Finland,televote,3
Rest of World,Australia,televote,2
Rest of World,Poland,televote,1
Romania,Moldova,televote,12
Romania,Serbia,televote,10
Romania,Bulgaria,televote,8
Romania,Italy,televote,7
Romania,Israel,televote,6
Romania,Albania,televote,5
Romania,Ukraine,televote,4
Romania,Greece,televote,3
Romania,Croatia,televote,2
Romania,Australia,televote,1
San Marino,Greece,televote,12
San Marino,Bulgaria,televote,10
San Marino,Italy,televote,8
San Marino,Cyprus,televote,7
San Marino,Romania,televote,6
San Marino,Australia,televote,5
San Marino,Finland,televote,4
San Marino,Israel,televote,3
San Marino,Moldova,televote,2
San Marino,Albania,televote,1
Serbia,Croatia,televote,12
Serbia,Bulgaria,televote,10
Serbia,Greece,televote,8
Serbia,Romania,televote,7
Serbia,Italy,televote,6
Serbia,Moldova,televote,5
Serbia,Israel,televote,4
Serbia,Australia,televote,3
Serbia,Finland,televote,2
Serbia,Albania,televote,1
Sweden,Finland,televote,12
Sweden,Denmark,televote,10
Sweden,Bulgaria,televote,8
Sweden,Israel,televote,7
Sweden,Australia,televote,6
Sweden,Ukraine,televote,5
Sweden,Greece,televote,4
Sweden,Romania,televote,3
Sweden,Poland,televote,2
Sweden,Norway,televote,1
Switzerland,Israel,televote,12
Switzerland,Italy,televote,10
Switzerland,Bulgaria,televote,8
Switzerland,Albania,televote,7
Switzerland,Greece,televote,6
Switzerland,Australia,televote,5
Switzerland,Romania,televote,4
Switzerland,Finland,televote,3
Switzerland,Croatia,televote,2
Switzerland,Moldova,televote,1
Ukraine,Moldova,televote,12
Ukraine,Romania,televote,10
Ukraine,Croatia,televote,8
Ukraine,Denmark,televote,7
Ukraine,Norway,televote,6
Ukraine,Israel,televote,5
Ukraine,Bulgaria,televote,4
Ukraine,Serbia,televote,3
Ukraine,Finland,televote,2
Ukraine,Czechia,televote,1
United Kingdom,Bulgaria,televote,12
United Kingdom,Israel,televote,10
United Kingdom,Romania,televote,8
United Kingdom,Australia,televote,7
United Kingdom,Moldova,televote,6
United Kingdom,Poland,televote,5
United Kingdom,Greece,televote,4
United Kingdom,Cyprus,televote,3
United Kingdom,Ukraine,televote,2
United Kingdom,Finland,televote,1
Albania,Italy,jury,12
Albania,Norway,jury,10
Albania,Israel,jury,8
Albania,Czechia,jury,7
Albania,Malta,jury,6
Albania,Denmark,jury,5
Albania,France,jury,4
Albania,Bulgaria,jury,3
Albania,Greece,jury,2
Albania,Australia,jury,1
Armenia,Australia,jury,12
Armenia,Bulgaria,jury,10
Armenia,France,jury,8
Armenia,Israel,jury,7
Armenia,Norway,jury,6
Armenia,Denmark,jury,5
Armenia,Czechia,jury,4
Armenia,Greece,jury,3
Armenia,Finland,jury,2
Armenia,Poland,jury,1
Australia,Bulgaria,jury,12
Australia,France,jury,10
Australia,Poland,jury,8
Australia,Czechia,jury,7
Australia,Norway,jury,6
Australia,Denmark,jury,5
Australia,Finland,jury,4
Australia,Cyprus,jury,3
Australia,Greece,jury,2
Australia,Italy,jury,1
Austria,Poland,jury,12
Austria,Denmark,jury,10
Austria,Israel,jury,8
Austria,Australia,jury,7
Austria,Finland,jury,6
Austria,Czechia,jury,5
Austria,France,jury,4
Austria,Norway,jury,3
Austria,Italy,jury,2
Austria,Greece,jury,1
Azerbaijan,Italy,jury,12
Azerbaijan,Ukraine,jury,10
Azerbaijan,Serbia,jury,8
Azerbaijan,Croatia,jury,7
Azerbaijan,Albania,jury,6
Azerbaijan,Bulgaria,jury,5
Azerbaijan,Israel,jury,4
Azerbaijan,Romania,jury,3
Azerbaijan,Malta,jury,2
Azerbaijan,Czechia,jury,1
Belgium,Poland,jury,12
Belgium,Australia,jury,10
Belgium,Finland,jury,8
Belgium,Norway,jury,7
Belgium,Italy,jury,6
Belgium,France,jury,5
Belgium,Bulgaria,jury,4
Belgium,Albania,jury,3
Belgium,Germany,jury,2
Belgium,Israel,jury,1
Bulgaria,Malta,jury,12
Bulgaria,Cyprus,jury,10
Bulgaria,Australia,jury,8
Bulgaria,Israel,jury,7
Bulgaria,Italy,jury,6
Bulgaria,Moldova,jury,5
Bulgaria,Czechia,jury,4
Bulgaria,Norway,jury,3
Bulgaria,Germany,jury,2
Bulgaria,Denmark,jury,1
Croatia,Serbia,jury,12
Croatia,Denmark,jury,10
Croatia,Albania,jury,8
Croatia,Australia,jury,7
Croatia,Finland,jury,6
Croatia,Israel,jury,5
Croatia,Bulgaria,jury,4
Croatia,France,jury,3
Croatia,Poland,jury,2
Croatia,Moldova,jury,1
Cyprus,Greece,jury,12
Cyprus,Bulgaria,jury,10
Cyprus,Albania,jury,8
Cyprus,Malta,jury,7
Cyprus,Denmark,jury,6
Cyprus,Australia,jury,5
Cyprus,Finland,jury,4
Cyprus,France,jury,3
Cyprus,Czechia,jury,2
Cyprus,Italy,jury,1
Czechia,Denmark,jury,12
Czechia,Norway,jury,10
Czechia,Romania,jury,8
Czechia,Finland,jury,7
Czechia,Australia,jury,6
Czechia,Poland,jury,5
Czechia,Bulgaria,jury,4
Czechia,France,jury,3
Czechia,Israel,jury,2
Czechia,Malta,jury,1
Denmark,Bulgaria,jury,12
Denmark,Sweden,jury,10
Denmark,Finland,jury,8
Denmark,Israel,jury,7
Denmark,Italy,jury,6
Denmark,Czechia,jury,5
Denmark,Australia,jury,4
Denmark,France,jury,3
Denmark,Cyprus,jury,2
Denmark,Romania,jury,1
Estonia,Finland,jury,12
Estonia,Norway,jury,10
Estonia,Denmark,jury,8
Estonia,Bulgaria,jury,7
Estonia,Italy,jury,6
Estonia,Poland,jury,5
Estonia,Croatia,jury,4
Estonia,Greece,jury,3
Estonia,Belgium,jury,2
Estonia,Czechia,jury,1
Finland,France,jury,12
Finland,Denmark,jury,10
Finland,Lithuania,jury,8
Finland,Australia,jury,7
Finland,Poland,jury,6
Finland,Croatia,jury,5
Finland,Belgium,jury,4
Finland,Italy,jury,3
Finland,Czechia,jury,2
Finland,Moldova,jury,1
France,Norway,jury,12
France,Denmark,jury,10
France,Italy,jury,8
France,Bulgaria,jury,7
France,Ukraine,jury,6
France,Australia,jury,5
France,Israel,jury,4
France,Malta,jury,3
France,Finland,jury,2
France,Serbia,jury,1
Georgia,France,jury,12
Georgia,Italy,jury,10
Georgia,Cyprus,jury,8
Georgia,Finland,jury,7
Georgia,Israel,jury,6
Georgia,Norway,jury,5
Georgia,Malta,jury,4
Georgia,Bulgaria,jury,3
Georgia,Poland,jury,2
Georgia,Czechia,jury,1
Germany,Poland,jury,12
Germany,Italy,jury,10
Germany,Finland,jury,8
Germany,Bulgaria,jury,7
Germany,France,jury,6
Germany,Australia,jury,5
Germany,Denmark,jury,4
Germany,Israel,jury,3
Germany,Croatia,jury,2
Germany,Sweden,jury,1
Greece,Cyprus,jury,12
Greece,Poland,jury,10
Greece,France,jury,8
Greece,Australia,jury,7
Greece,Bulgaria,jury,6
Greece,Serbia,jury,5
Greece,Croatia,jury,4
Greece,Moldova,jury,3
Greece,Romania,jury,2
Greece,Albania,jury,1
Israel,Australia,jury,12
Israel,Denmark,jury,10
Israel,Bulgaria,jury,8
Israel,Finland,jury,7
Israel,Moldova,jury,6
Israel,Greece,jury,5
Israel,Romania,jury,4
Israel,Italy,jury,3
Israel,Belgium,jury,2
Israel,Albania,jury,1
Italy,Belgium,jury,12
Italy,Sweden,jury,10
Italy,Malta,jury,8
Italy,Ukraine,jury,7
Italy,Poland,jury,6
Italy,Romania,jury,5
Italy,Germany,jury,4
Italy,Bulgaria,jury,3
Italy,Lithuania,jury,2
Italy,Moldova,jury,1
Latvia,Czechia,jury,12
Latvia,Belgium,jury,10
Latvia,Poland,jury,8
Latvia,Ukraine,jury,7
Latvia,France,jury,6
Latvia,Denmark,jury,5
Latvia,Bulgaria,jury,4
Latvia,Finland,jury,3
Latvia,Romania,jury,2
Latvia,Greece,jury,1
Lithuania,Bulgaria,jury,12
Lithuania,Poland,jury,10
Lithuania,Israel,jury,8
Lithuania,Norway,jury,7
Lithuania,Sweden,jury,6
Lithuania,Finland,jury,5
Lithuania,Denmark,jury,4
Lithuania,Moldova,jury,3
Lithuania,Czechia,jury,2
Lithuania,France,jury,1
Luxembourg,Romania,jury,12
Luxembourg,Australia,jury,10
Luxembourg,Bulgaria,jury,8
Luxembourg,Croatia,jury,7
Luxembourg,France,jury,6
Luxembourg,Denmark,jury,5
Luxembourg,Norway,jury,4
Luxembourg,Finland,jury,3
Luxembourg,Malta,jury,2
Luxembourg,Austria,jury,1
Malta,Bulgaria,jury,12
Malta,Italy,jury,10
Malta,Australia,jury,8
Malta,France,jury,7
Malta,Albania,jury,6
Malta,Finland,jury,5
